Date,AAPL,AMZN,BAC,CVX,DIS,GE,HD,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,ORCL,PFE,PG,WMT,XOM
2014-06-13,20.068355560302734,16.313499450683594,12.233790397644043,78.8434829711914,74.95266723632812,107.9679183959961,60.108638763427734,109.74018859863281,22.61740493774414,74.97100830078125,42.00107192993164,28.329181671142578,75.28501892089844,39.23370361328125,34.772560119628906,35.57442092895508,17.61602020263672,58.07172775268555,20.144086837768555,63.69698715209961
2014-06-16,20.270627975463867,16.381000518798828,12.107016563415527,79.63648986816406,75.40528106689453,107.08943939208984,60.74767303466797,109.61395263671875,22.723411560058594,74.91251373291016,41.875892639160156,28.532699584960938,75.7420425415039,39.11918258666992,35.000282287597656,35.58285903930664,17.663745880126953,58.10818099975586,20.160137176513672,63.8645133972168
2014-06-17,20.244243621826172,16.2810001373291,12.352643013000488,79.8161849975586,75.278564453125,107.28909301757812,61.6099853515625,109.55986785888672,22.677978515625,74.53228759765625,42.2808837890625,28.715160369873047,75.869384765625,39.112457275390625,35.1520881652832,35.72636795043945,17.586196899414062,58.027984619140625,20.066486358642578,63.55425262451172
2014-06-18,20.26622772216797,16.7189998626709,12.400182723999023,80.7145004272461,75.65874481201172,107.36894226074219,62.14127731323242,110.36537170410156,22.662839889526367,75.17572021484375,42.54597091674805,29.16425895690918,75.9293441772461,39.348236083984375,35.12678909301758,36.14002990722656,17.723407745361328,58.18110656738281,20.256467819213867,63.746620178222656
2014-06-19,20.19587516784668,16.350000381469727,12.320947647094727,81.77393341064453,75.83073425292969,108.41565704345703,61.933349609375,109.8964614868164,22.78398323059082,75.90694427490234,42.1925163269043,29.325672149658203,76.34889221191406,39.274131774902344,35.008705139160156,35.88677978515625,17.65182876586914,58.50923156738281,20.30196189880371,63.684574127197266
2014-06-20,19.98702049255371,16.209999084472656,12.249593734741211,81.99077606201172,74.97077941894531,108.57667541503906,61.72549057006836,109.13307189941406,22.867279052734375,76.97454071044922,42.37660217285156,29.2554931640625,76.35636901855469,39.691795349121094,35.1520881652832,34.460079193115234,17.765161514282227,58.28318786621094,20.251117706298828,64.42921447753906
2014-06-23,19.96942901611328,16.36199951171875,12.40023422241211,82.38729858398438,74.91645812988281,107.40919494628906,62.087364196777344,109.4876937866211,22.889997482299805,76.59426879882812,42.84787368774414,29.28356170654297,76.34889221191406,39.40885543823242,35.41352844238281,34.696449279785156,17.568302154541016,57.98420715332031,20.280553817749023,64.7705078125
2014-06-24,19.848506927490234,16.20800018310547,12.281303405761719,81.63764190673828,74.84403991699219,107.00662231445312,61.9256706237793,108.73030853271484,23.094432830810547,76.47728729248047,42.2808837890625,29.36777114868164,76.01925659179688,39.01813888549805,35.21112060546875,34.40941619873047,17.47882080078125,57.612335205078125,20.328718185424805,63.746620178222656
2014-06-25,19.8660888671875,16.371999740600586,12.265447616577148,81.30308532714844,75.94842529296875,106.36249542236328,62.002681732177734,108.63412475585938,23.382171630859375,77.33280181884766,42.36188507080078,29.444955825805664,76.1241226196289,39.6513786315918,35.447265625,34.15616989135742,17.777090072631836,57.83839797973633,20.235055923461914,63.38052749633789
2014-06-26,19.984811782836914,16.284500122070312,12.217875480651855,81.11101531982422,76.44629669189453,105.83912658691406,62.17205810546875,108.42375946044922,23.306455612182617,77.25239562988281,42.25880432128906,29.49407386779785,76.0492172241211,39.4290657043457,35.185813903808594,33.894466400146484,17.65182876586914,57.32796096801758,20.045074462890625,63.312255859375
2014-06-27,20.22225570678711,16.228500366210938,12.154451370239258,80.76407623291016,77.21573638916016,106.40275573730469,62.46461486816406,109.22924041748047,23.42003059387207,76.76979064941406,42.36188507080078,29.606361389160156,76.0117416381836,38.75541305541992,35.632816314697266,34.21526336669922,17.69954490661621,57.619625091552734,20.160137176513672,62.803428649902344
2014-06-30,20.431119918823242,16.23900032043457,12.186161994934082,80.88176727294922,77.6140365600586,105.79888153076172,62.33374786376953,108.9647445678711,23.39731216430664,76.4992446899414,42.428131103515625,29.725664138793945,75.47233581542969,38.970970153808594,35.1689567565918,34.21526336669922,17.705501556396484,57.30609130859375,20.0878849029541,62.474544525146484
2014-07-01,20.560827255249023,16.61949920654297,12.36851978302002,80.87559509277344,78.27485656738281,106.28194427490234,62.99587631225586,112.01842498779297,23.4578914642334,77.41324615478516,42.687679290771484,29.67653465270996,75.66709899902344,39.41560745239258,35.31233215332031,34.417869567871094,17.944128036499023,57.809242248535156,20.144086837768555,62.89649200439453
